lam,mse,variable
1.0,0.03494952619075775,X1
1.0,0.03665364533662796,X1
1.0,0.03875386342406273,X1
1.0,0.042597487568855286,X1
1.0,0.034592851996421814,X1
1.2742749857031337,0.0399152971804142,X1
1.2742749857031337,0.03329942747950554,X1
1.2742749857031337,0.03897232562303543,X1
1.2742749857031337,0.035039618611335754,X1
1.2742749857031337,0.0394161082804203,X1
1.6237767391887217,0.03655645251274109,X1
1.6237767391887217,0.03988457843661308,X1
1.6237767391887217,0.03081674501299858,X1
1.6237767391887217,0.0368979312479496,X1
1.6237767391887217,0.03835931792855263,X1
2.0691380811147897,0.03736035153269768,X1
2.0691380811147897,0.035080280154943466,X1
2.0691380811147897,0.0364689826965332,X1
2.0691380811147897,0.034373365342617035,X1
2.0691380811147897,0.03660428524017334,X1
2.636650898730358,0.034245703369379044,X1
2.636650898730358,0.03843526914715767,X1
2.636650898730358,0.033738117665052414,X1
2.636650898730358,0.035404425114393234,X1
2.636650898730358,0.038579992949962616,X1
3.3598182862837818,0.04094545915722847,X1
3.3598182862837818,0.031572312116622925,X1
3.3598182862837818,0.03455329313874245,X1
3.3598182862837818,0.03627660870552063,X1
3.3598182862837818,0.03567008674144745,X1
4.281332398719393,0.03647991269826889,X1
4.281332398719393,0.03640061616897583,X1
4.281332398719393,0.034182868897914886,X1
4.281332398719393,0.03555915132164955,X1
4.281332398719393,0.03499162197113037,X1
5.455594781168519,0.036414872854948044,X1
5.455594781168519,0.03311583772301674,X1
5.455594781168519,0.036439623683691025,X1
5.455594781168519,0.031237225979566574,X1
5.455594781168519,0.038710810244083405,X1
6.951927961775605,0.03413495421409607,X1
6.951927961775605,0.031718961894512177,X1
6.951927961775605,0.0384337417781353,X1
6.951927961775605,0.03454352170228958,X1
6.951927961775605,0.03649359568953514,X1
8.858667904100825,0.03803243115544319,X1
8.858667904100825,0.03077290579676628,X1
8.858667904100825,0.037077222019433975,X1
8.858667904100825,0.03288005292415619,X1
8.858667904100825,0.035837553441524506,X1
11.28837891684689,0.035763274878263474,X1
11.28837891684689,0.034948788583278656,X1
11.28837891684689,0.03454500064253807,X1
11.28837891684689,0.03687699884176254,X1
11.28837891684689,0.032331980764865875,X1
14.38449888287663,0.033409234136343,X1
14.38449888287663,0.03263255953788757,X1
14.38449888287663,0.04019668325781822,X1
14.38449888287663,0.03508835658431053,X1
14.38449888287663,0.0321844182908535,X1
18.329807108324356,0.03282523527741432,X1
18.329807108324356,0.03375118970870972,X1
18.329807108324356,0.0351635217666626,X1
18.329807108324356,0.03628908842802048,X1
18.329807108324356,0.03359196335077286,X1
23.357214690901213,0.031092017889022827,X1
23.357214690901213,0.03649066016077995,X1
23.357214690901213,0.03390052169561386,X1
23.357214690901213,0.03385355323553085,X1
23.357214690901213,0.035555433481931686,X1
29.76351441631318,0.03327175974845886,X1
29.76351441631318,0.035338833928108215,X1
29.76351441631318,0.03225357457995415,X1
29.76351441631318,0.03632761165499687,X1
29.76351441631318,0.032241858541965485,X1
37.926901907322495,0.03450043126940727,X1
37.926901907322495,0.03720525652170181,X1
37.926901907322495,0.031270451843738556,X1
37.926901907322495,0.03161711245775223,X1
37.926901907322495,0.03424249216914177,X1
48.32930238571752,0.033360131084918976,X1
48.32930238571752,0.03138348460197449,X1
48.32930238571752,0.035990115255117416,X1
48.32930238571752,0.03544485569000244,X1
48.32930238571752,0.03257380425930023,X1
61.584821106602604,0.03530378267168999,X1
61.584821106602604,0.031888484954833984,X1
61.584821106602604,0.03379002586007118,X1
61.584821106602604,0.03348241373896599,X1
61.584821106602604,0.03413023427128792,X1
78.47599703514611,0.03370920196175575,X1
78.47599703514611,0.03755660727620125,X1
78.47599703514611,0.034171316772699356,X1
78.47599703514611,0.031177304685115814,X1
78.47599703514611,0.03259079158306122,X1
100.0,0.03772512078285217,X1
100.0,0.035152457654476166,X1
100.0,0.031436022371053696,X1
100.0,0.029719827696681023,X1
100.0,0.03657364845275879,X1
1.0,0.03813968226313591,X2
1.0,0.03765619173645973,X2
1.0,0.038545332849025726,X2
1.0,0.0371837243437767,X2
1.0,0.0418996587395668,X2
1.2742749857031337,0.041072990745306015,X2
1.2742749857031337,0.03407127037644386,X2
1.2742749857031337,0.031073618680238724,X2
1.2742749857031337,0.03412546589970589,X2
1.2742749857031337,0.04337530955672264,X2
1.6237767391887217,0.032879650592803955,X2
1.6237767391887217,0.04235800728201866,X2
1.6237767391887217,0.03509265184402466,X2
1.6237767391887217,0.03214845061302185,X2
1.6237767391887217,0.03550807386636734,X2
2.0691380811147897,0.03322645276784897,X2
2.0691380811147897,0.03279346227645874,X2
2.0691380811147897,0.03398614749312401,X2
2.0691380811147897,0.03485284373164177,X2
2.0691380811147897,0.031969524919986725,X2
2.636650898730358,0.03299800679087639,X2
2.636650898730358,0.03525485098361969,X2
2.636650898730358,0.029720604419708252,X2
2.636650898730358,0.03155271336436272,X2
2.636650898730358,0.030566871166229248,X2
3.3598182862837818,0.029720354825258255,X2
3.3598182862837818,0.030055543407797813,X2
3.3598182862837818,0.03381209075450897,X2
3.3598182862837818,0.030741875991225243,X2
3.3598182862837818,0.029687710106372833,X2
4.281332398719393,0.029850194230675697,X2
4.281332398719393,0.030669717118144035,X2
4.281332398719393,0.030397512018680573,X2
4.281332398719393,0.028641242533922195,X2
4.281332398719393,0.029303641989827156,X2
5.455594781168519,0.030695943161845207,X2
5.455594781168519,0.025944115594029427,X2
5.455594781168519,0.028885189443826675,X2
5.455594781168519,0.028534960001707077,X2
5.455594781168519,0.029191624373197556,X2
6.951927961775605,0.02641010284423828,X2
6.951927961775605,0.0270990002900362,X2
6.951927961775605,0.029167940840125084,X2
6.951927961775605,0.02975454181432724,X2
6.951927961775605,0.027743322774767876,X2
8.858667904100825,0.029867658391594887,X2
8.858667904100825,0.02757691591978073,X2
8.858667904100825,0.028645165264606476,X2
8.858667904100825,0.026725415140390396,X2
8.858667904100825,0.025635022670030594,X2
11.28837891684689,0.030397355556488037,X2
11.28837891684689,0.028505347669124603,X2
11.28837891684689,0.028915729373693466,X2
11.28837891684689,0.022832008078694344,X2
11.28837891684689,0.027104118838906288,X2
14.38449888287663,0.026875656098127365,X2
14.38449888287663,0.027516083791851997,X2
14.38449888287663,0.027897289022803307,X2
14.38449888287663,0.027710843831300735,X2
