lam,mse,variable,iter
1.0,0.18645010888576508,X1,0
1.0,0.12939846515655518,X1,0
1.0,0.2290065437555313,X1,0
1.0,0.27216285467147827,X1,0
1.0,0.21234121918678284,X1,0
1.2742749857031337,0.17959466576576233,X1,0
1.2742749857031337,0.20529979467391968,X1,0
1.2742749857031337,0.17937351763248444,X1,0
1.2742749857031337,0.18106545507907867,X1,0
1.2742749857031337,0.15335161983966827,X1,0
1.6237767391887217,0.18103155493736267,X1,0
1.6237767391887217,0.17033036053180695,X1,0
1.6237767391887217,0.17301493883132935,X1,0
1.6237767391887217,0.10557401180267334,X1,0
1.6237767391887217,0.14970709383487701,X1,0
2.0691380811147897,0.12307368963956833,X1,0
2.0691380811147897,0.13190850615501404,X1,0
2.0691380811147897,0.13589352369308472,X1,0
2.0691380811147897,0.1788245588541031,X1,0
2.0691380811147897,0.12548592686653137,X1,0
2.636650898730358,0.16025729477405548,X1,0
2.636650898730358,0.11597169190645218,X1,0
2.636650898730358,0.1327686756849289,X1,0
2.636650898730358,0.10464361310005188,X1,0
2.636650898730358,0.09793195873498917,X1,0
3.3598182862837818,0.08398657292127609,X1,0
3.3598182862837818,0.11087401956319809,X1,0
3.3598182862837818,0.10196080058813095,X1,0
3.3598182862837818,0.13725616037845612,X1,0
3.3598182862837818,0.11374399811029434,X1,0
4.281332398719393,0.09744513034820557,X1,0
4.281332398719393,0.09486091881990433,X1,0
4.281332398719393,0.0959782600402832,X1,0
4.281332398719393,0.11301805824041367,X1,0
4.281332398719393,0.07697323709726334,X1,0
5.455594781168519,0.0734938234090805,X1,0
5.455594781168519,0.0918758437037468,X1,0
5.455594781168519,0.10941510647535324,X1,0
5.455594781168519,0.06940031051635742,X1,0
5.455594781168519,0.08458524197340012,X1,0
6.951927961775605,0.07320383936166763,X1,0
6.951927961775605,0.08152750134468079,X1,0
6.951927961775605,0.07338935881853104,X1,0
6.951927961775605,0.07464957982301712,X1,0
6.951927961775605,0.07395508140325546,X1,0
8.858667904100825,0.06341695785522461,X1,0
8.858667904100825,0.07290174812078476,X1,0
8.858667904100825,0.07799681276082993,X1,0
8.858667904100825,0.0630020797252655,X1,0
8.858667904100825,0.06958289444446564,X1,0
11.28837891684689,0.06176450476050377,X1,0
11.28837891684689,0.06971196085214615,X1,0
11.28837891684689,0.06869368255138397,X1,0
11.28837891684689,0.05999976769089699,X1,0
11.28837891684689,0.050794582813978195,X1,0
14.38449888287663,0.058705732226371765,X1,0
14.38449888287663,0.05505017936229706,X1,0
14.38449888287663,0.06306042522192001,X1,0
14.38449888287663,0.05652756243944168,X1,0
14.38449888287663,0.05006083473563194,X1,0
18.329807108324356,0.05672846734523773,X1,0
18.329807108324356,0.051576096564531326,X1,0
18.329807108324356,0.05502317100763321,X1,0
18.329807108324356,0.04979348182678223,X1,0
18.329807108324356,0.04758501052856445,X1,0
23.357214690901213,0.049798037856817245,X1,0
23.357214690901213,0.051095351576805115,X1,0
23.357214690901213,0.04840284213423729,X1,0
23.357214690901213,0.04452027380466461,X1,0
23.357214690901213,0.048274505883455276,X1,0
29.76351441631318,0.042340315878391266,X1,0
29.76351441631318,0.04110651835799217,X1,0
29.76351441631318,0.05012446269392967,X1,0
29.76351441631318,0.047240421175956726,X1,0
29.76351441631318,0.04627012461423874,X1,0
37.926901907322495,0.03857310861349106,X1,0
37.926901907322495,0.04210224747657776,X1,0
37.926901907322495,0.04162583872675896,X1,0
37.926901907322495,0.050135038793087006,X1,0
37.926901907322495,0.04268200695514679,X1,0
48.32930238571752,0.041398417204618454,X1,0
48.32930238571752,0.04310258477926254,X1,0
48.32930238571752,0.03985505923628807,X1,0
48.32930238571752,0.040161874145269394,X1,0
