variable,method,time,vi,train_loss,test_loss
all,full model,7.157124996185303,0.0,0.010981433093547821,0.012701038271188736
X1,dropout,0.0,0.03095882758498192,0.04488593712449074,0.043659865856170654
X1,lazy,4.210563898086548,0.017970668151974678,0.030340243130922318,0.030671706423163414
X1,retrain,2.3110969066619873,0.027107343077659607,0.03797378018498421,0.03980838134884834
X2,dropout,0.0,0.023253079503774643,0.03248889371752739,0.03595411777496338
X2,lazy,4.2905919551849365,0.01799207367002964,0.02532436139881611,0.030693111941218376
X2,retrain,1.9660170078277588,0.02117200940847397,0.02950943447649479,0.033873047679662704
X3,dropout,0.0,0.0188218392431736,0.029328536242246628,0.031522877514362335
X3,lazy,4.274914979934692,0.018612489104270935,0.028858283534646034,0.03131352737545967
X3,retrain,2.995781183242798,0.023162178695201874,0.03316250070929527,0.03586321696639061
X4,dropout,0.0,-0.00028434861451387405,0.01109058316797018,0.012416689656674862
X4,lazy,4.151238918304443,-0.0011504217982292175,0.010146470740437508,0.011550616472959518
X4,retrain,3.1196861267089844,0.00012082234025001526,0.011294376105070114,0.012821860611438751
X5,dropout,0.0,-0.0006099902093410492,0.011108942329883575,0.012091048061847687
X5,lazy,4.018749952316284,-0.0013340562582015991,0.010163442231714725,0.011366982012987137
X5,retrain,3.5096607208251953,0.0011078529059886932,0.011809051036834717,0.01380889117717743
X6,dropout,0.0,-8.318852633237839e-05,0.011125738732516766,0.012617849744856358
X6,lazy,4.230926752090454,-0.0009771175682544708,0.010219593532383442,0.011723920702934265
X6,retrain,2.8742549419403076,-3.333762288093567e-05,0.010722179897129536,0.0126677006483078
