variable,method,time,vi,train_loss,test_loss
X2,lazy,1.1534233093261719,1.1688142474740744,1.116682529449463,1.1886221170425415
X2,retrain,14.2710599899292,0.6876840647310019,0.6316103339195251,0.707491934299469
X3,dropout,0.0,0.9482666905969381,1.0351672172546387,0.9680745601654053
X3,lazy,1.191452980041504,0.9495526012033224,1.0298939943313599,0.9693604707717896
X3,retrain,16.640252113342285,0.9530116375535727,1.0410101413726807,0.9728195071220398
all,full model,11.172591924667358,0.0,0.03313741087913513,0.03454425185918808
X1,dropout,0.0,2.1013889089226723,2.2492969036102295,2.1359331607818604
X1,lazy,1.176393985748291,0.9726351276040077,1.0233298540115356,1.0071793794631958
X1,retrain,17.394715309143066,0.966123916208744,1.0237334966659546,1.0006681680679321
X2,dropout,0.0,1.4614692702889442,1.4904690980911255,1.4960135221481323
X2,lazy,1.1621389389038086,0.6683115735650063,0.6781965494155884,0.7028558254241943
X2,retrain,11.723065853118896,0.6723849549889565,0.6802375316619873,0.7069292068481445
X3,dropout,0.0,0.9661361947655678,1.0407567024230957,1.0006804466247559
X3,lazy,1.1476678848266602,0.9589205756783485,1.0204709768295288,0.9934648275375366
X3,retrain,9.968812942504883,0.9714413657784462,1.0252970457077026,1.0059856176376343
all,full model,13.631089925765991,0.0,0.026134418323636055,0.02730504423379898
X1,dropout,0.0,2.182824932038784,2.1643645763397217,2.210129976272583
X1,lazy,1.1450979709625244,1.004690371453762,0.9762822985649109,1.031995415687561
X1,retrain,12.390388011932373,1.0184815749526024,0.9743671417236328,1.0457866191864014
X2,dropout,0.0,1.3799975737929344,1.415584921836853,1.4073026180267334
X2,lazy,1.1493289470672607,0.7523088678717613,0.762058436870575,0.7796139121055603
X2,retrain,14.1800696849823,0.6528908833861351,0.6503609418869019,0.6801959276199341
X3,dropout,0.0,0.9708710536360741,1.0420960187911987,0.998176097869873
X3,lazy,1.1846389770507812,0.9828426465392113,1.0389024019241333,1.0101476907730103
X3,retrain,13.473733186721802,0.9913558587431908,1.0481244325637817,1.0186609029769897
all,full model,9.846958875656128,0.0,0.02326953411102295,0.02305450290441513
X1,dropout,0.0,2.104884721338749,2.1165928840637207,2.127939224243164
X1,lazy,1.1483490467071533,0.9535421505570412,1.030335545539856,0.9765966534614563
X1,retrain,9.523714065551758,0.9865520969033241,1.0577574968338013,1.0096065998077393
X2,dropout,0.0,1.3843935504555702,1.3486191034317017,1.4074480533599854
X2,lazy,1.1656742095947266,0.6684341803193092,0.6782040596008301,0.6914886832237244
X2,retrain,10.32183289527893,0.6515486016869545,0.673509955406189,0.6746031045913696
X3,dropout,0.0,0.9815876260399818,1.0272563695907593,1.004642128944397
X3,lazy,1.1750597953796387,0.9872523322701454,1.0149511098861694,1.0103068351745605
X3,retrain,8.713613986968994,1.004886008799076,1.040939211845398,1.0279405117034912
all,full model,13.165510892868042,0.0,0.02546078898012638,0.02751479111611843
X1,dropout,0.0,2.177440309897065,2.258328437805176,2.2049551010131836
X1,lazy,1.1947739124298096,1.078494930639863,1.03861665725708,1.1060097217559814
X1,retrain,15.472259759902954,0.9711638335138559,0.9509968161582947,0.9986786246299744
X2,dropout,0.0,1.3625341895967722,1.4573590755462646,1.3900489807128906
X2,lazy,1.1547629833221436,0.623068118467927,0.6326955556869507,0.6505829095840454
X2,retrain,14.905049085617065,0.6101482752710581,0.6258695721626282,0.6376630663871765
X3,dropout,0.0,1.0021288637071848,1.0169957876205444,1.0296436548233032
X3,lazy,1.156512975692749,1.0036511663347483,1.0121724605560303,1.0311659574508667
X3,retrain,9.710320234298706,1.0177589897066355,1.0080485343933105,1.045273780822754
all,full model,11.932718753814697,0.0,0.023970169946551323,0.025773994624614716
X1,dropout,0.0,2.158882863819599,2.2029712200164795,2.184656858444214
X1,lazy,1.1380653381347656,0.9643555358052254,1.0137861967086792,0.9901295304298401
X1,retrain,7.231267929077148,1.0096755102276802,1.054998517036438,1.035449504852295
X2,dropout,0.0,1.5243231132626534,1.4795610904693604,1.550097107887268
X2,lazy,1.194883108139038,0.6725819781422615,0.6666751503944397,0.6983559727668762
X2,retrain,13.741384029388428,0.6804061010479927,0.6743412613868713,0.7061800956726074
X3,dropout,0.0,0.9851901605725288,1.067992925643921,1.0109641551971436
X3,lazy,1.141319751739502,0.9948366954922676,1.063544750213623,1.0206106901168823
X3,retrain,10.86736011505127,1.0013561323285103,1.055823802947998,1.027130126953125
all,full model,12.914740800857544,0.0,0.026454441249370575,0.02551141381263733
X1,dropout,0.0,2.3239375054836273,2.1584043502807617,2.3494489192962646
X1,lazy,1.1471941471099854,0.9925391376018524,1.0127829313278198,1.0180505514144897
X1,retrain,15.098358869552612,0.9928731620311737,0.9819810390472412,1.018384575843811
X2,dropout,0.0,1.4200484454631805,1.3640027046203613,1.4455598592758179
X2,lazy,1.1482150554656982,0.6165448129177094,0.6494358777999878,0.6420562267303467
X2,retrain,13.832290649414062,0.6181643307209015,0.6341676115989685,0.6436757445335388
X3,dropout,0.0,1.067784160375595,1.0428540706634521,1.0932955741882324
X3,lazy,1.194350004196167,1.0855619609355927,1.058598279953003,1.11107337474823
X3,retrain,9.835958003997803,1.0795980393886566,1.0341949462890625,1.105109453201294
all,full model,14.361562967300415,0.0,0.02360096573829651,0.025730201974511147
X1,dropout,0.0,2.1562799718230963,2.2574758529663086,2.1820101737976074
X1,lazy,1.1752688884735107,0.9948965813964605,1.0473477840423584,1.0206267833709717
X1,retrain,15.10868215560913,1.0010791327804327,1.0285390615463257,1.0268093347549438
X2,dropout,0.0,1.2903277184814215,1.4581611156463623,1.3160579204559326
X2,lazy,1.155613899230957,0.838708808645606,0.912299633026123,0.8644390106201172
X2,retrain,23.389415979385376,0.5882068183273077,0.6640530824661255,0.6139370203018188
X3,dropout,0.0,0.9856912400573492,1.0464469194412231,1.0114214420318604
X3,lazy,1.186708927154541,0.9840752389281988,1.032959222793579,1.00980544090271
X3,retrain,10.948668241500854,0.9997264649719,1.0409011840820312,1.0254566669464111
all,full model,10.550960779190063,0.0,0.022081727162003517,0.021354060620069504
X1,dropout,0.0,2.0813239999115467,2.193010091781616,2.102678060531616
X1,lazy,1.1609559059143066,1.0096563287079334,1.0193556547164917,1.031010389328003
X1,retrain,8.722901105880737,1.018747467547655,1.0259478092193604,1.0401015281677246
X2,dropout,0.0,1.4062061496078968,1.4023116827011108,1.4275602102279663
X2,lazy,1.224919080734253,0.6610999889671803,0.6430058479309082,0.6824540495872498
X2,retrain,10.78470492362976,0.6489631123840809,0.6470065712928772,0.6703171730041504
X3,dropout,0.0,1.0276707597076893,1.0258309841156006,1.0490248203277588
X3,lazy,1.231384038925171,1.0293946452438831,1.0184850692749023,1.0507487058639526
X3,retrain,16.441720247268677,1.033834595233202,1.0143884420394897,1.0551886558532715
all,full model,14.499898910522461,0.0,0.02850724570453167,0.028468597680330276
X1,dropout,0.0,2.1762876622378826,2.185426712036133,2.204756259918213
X1,lazy,1.1941041946411133,1.0900867097079754,1.0850911140441895,1.1185553073883057
X1,retrain,13.567584991455078,1.011917244642973,0.9980971813201904,1.0403858423233032
X2,dropout,0.0,1.3753217570483685,1.3609641790390015,1.4037903547286987
X2,lazy,1.1499912738800049,0.678331445902586,0.660162091255188,0.7068000435829163
X2,retrain,16.671338081359863,0.6437803618609905,0.6205174326896667,0.6722489595413208
X3,dropout,0.0,1.0076161734759808,1.0676946640014648,1.036084771156311
X3,lazy,1.2219603061676025,1.0493146292865276,1.0939728021621704,1.077783226966858
X3,retrain,10.918799877166748,1.0227131955325603,1.0531302690505981,1.0511817932128906
all,full model,15.341380834579468,0.0,0.02278439700603485,0.023411152884364128
X1,dropout,0.0,2.09191501326859,2.1286706924438477,2.115326166152954
X1,lazy,1.1511430740356445,1.0093624610453844,1.0563697814941406,1.0327736139297485
X1,retrain,13.86019492149353,1.0026975888758898,1.0265957117080688,1.026108741760254
X2,dropout,0.0,1.4204622525721788,1.4032232761383057,1.443873405456543
X2,lazy,1.1598138809204102,0.6535922903567553,0.6540465354919434,0.6770034432411194
X2,retrain,15.461618900299072,0.6705791372805834,0.6635198593139648,0.6939902901649475
X3,dropout,0.0,1.0112742204219103,1.029950737953186,1.0346853733062744
X3,lazy,1.226872205734253,1.050892235711217,1.0532054901123047,1.074303388595581
X3,retrain,14.513712882995605,1.0264538545161486,1.0341702699661255,1.0498650074005127
all,full model,10.660807847976685,0.0,0.02008489891886711,0.01980731077492237
X1,dropout,0.0,2.142096070572734,2.2496118545532227,2.1619033813476562
X1,lazy,1.2174742221832275,1.0209677498787642,1.0218857526779175,1.0407750606536865
X1,retrain,10.102491855621338,1.0043496172875166,1.0110735893249512,1.024156928062439
X2,dropout,0.0,1.3839590828865767,1.4075675010681152,1.403766393661499
X2,lazy,1.116323709487915,0.6172644775360823,0.6150392293930054,0.6370717883110046
X2,retrain,12.925795078277588,0.6263330262154341,0.6300048232078552,0.6461403369903564
X3,dropout,0.0,1.0068921130150557,1.0258413553237915,1.026699423789978
X3,lazy,1.1441473960876465,1.0083831828087568,1.006788969039917,1.0281904935836792
X3,retrain,11.234344959259033,1.014390854164958,1.0261749029159546,1.0341981649398804
all,full model,14.24070692062378,0.0,0.0191086046397686,0.020657632499933243
X1,dropout,0.0,2.3182834647595882,2.179154634475708,2.3389410972595215
X1,lazy,1.1315431594848633,0.9745118878781796,0.9774491190910339,0.9951695203781128
X1,retrain,13.813999891281128,1.0034005902707577,0.9791474938392639,1.024058222770691
X2,dropout,0.0,1.466611411422491,1.4122180938720703,1.4872690439224243
X2,lazy,1.1179299354553223,0.6159264110028744,0.6377114057540894,0.6365840435028076
X2,retrain,14.206889867782593,0.629129197448492,0.635117769241333,0.6497868299484253
X3,dropout,0.0,1.0278114341199398,1.0103787183761597,1.048469066619873
X3,lazy,1.145556926727295,1.0245986245572567,1.0010908842086792,1.04525625705719
X3,retrain,10.59802770614624,1.0413396619260311,0.9963770508766174,1.0619972944259644
all,full model,16.93863821029663,0.0,0.030305568128824234,0.032214224338531494
X1,dropout,0.0,2.2291123270988464,2.2046139240264893,2.261326551437378
X1,lazy,1.1344237327575684,1.1595733761787415,1.1180400848388672,1.191787600517273
X1,retrain,17.313647031784058,1.0200702548027039,1.0054415464401245,1.0522844791412354
X2,dropout,0.0,1.3243618607521057,1.3802661895751953,1.3565760850906372
X2,lazy,1.12809419631958,0.6099891662597656,0.6360593438148499,0.6422033905982971
X2,retrain,10.592829942703247,0.6407719850540161,0.6741324663162231,0.6729862093925476
X3,dropout,0.0,1.0415284037590027,1.0280224084854126,1.0737426280975342
X3,lazy,1.1154849529266357,1.0345963835716248,1.0094704627990723,1.0668106079101562
X3,retrain,15.708981990814209,1.0691834092140198,1.0156376361846924,1.1013976335525513
all,full model,12.94249701499939,0.0,0.024024762213230133,0.02375396341085434
X1,dropout,0.0,2.1493016853928566,2.184694290161133,2.173055648803711
X1,lazy,1.1132922172546387,0.9792181625962257,1.017999291419983,1.00297212600708
X1,retrain,14.451628684997559,0.9410726204514503,0.9882703423500061,0.9648265838623047
X2,dropout,0.0,1.3926223888993263,1.421827793121338,1.4163763523101807
X2,lazy,1.1234588623046875,0.6144226565957069,0.6476480960845947,0.6381766200065613
X2,retrain,13.969696044921875,0.615780808031559,0.6567229628562927,0.6395347714424133
X3,dropout,0.0,0.9226529970765114,1.0356647968292236,0.9464069604873657
X3,lazy,1.11655592918396,0.9184164181351662,1.0146151781082153,0.9421703815460205
X3,retrain,13.457968711853027,0.9314015284180641,1.0207499265670776,0.9551554918289185
all,full model,12.316019058227539,0.0,0.02467905916273594,0.026129843667149544
X1,dropout,0.0,2.2296031694859266,2.294468641281128,2.255733013153076
X1,lazy,1.1072068214416504,1.0741020422428846,1.0794591903686523,1.1002318859100342
X1,retrain,8.265804767608643,1.0248877983540297,1.0115978717803955,1.0510176420211792
X2,dropout,0.0,1.3665292244404554,1.5344595909118652,1.392659068107605
X2,lazy,1.116976022720337,0.6224095206707716,0.6673089861869812,0.6485393643379211
X2,retrain,9.318185091018677,0.6203082781285048,0.676877498626709,0.6464381217956543
X3,dropout,0.0,1.0107496958225965,1.0178576707839966,1.036879539489746
X3,lazy,1.144120216369629,1.010707376524806,1.008117914199829,1.0368372201919556
X3,retrain,10.769301891326904,1.0156871061772108,1.0098731517791748,1.0418169498443604
all,full model,10.504994869232178,0.0,0.025640413165092468,0.026391657069325447
X1,dropout,0.0,2.171405164524913,2.166400671005249,2.1977968215942383
X1,lazy,1.1087279319763184,1.0505442302674055,1.0398354530334473,1.076935887336731
X1,retrain,12.813183069229126,1.0506690423935652,1.0276248455047607,1.0770606994628906
X2,dropout,0.0,1.4238006751984358,1.4981582164764404,1.4501923322677612
X2,lazy,1.1170148849487305,0.6588584464043379,0.6829700469970703,0.6852501034736633
X2,retrain,14.69270396232605,0.6208951752632856,0.6562857031822205,0.6472868323326111
X3,dropout,0.0,0.9894889276474714,1.026556372642517,1.0158805847167969
X3,lazy,1.1320252418518066,0.9917800109833479,1.0176801681518555,1.0181716680526733
X3,retrain,13.249253273010254,0.9936022441834211,1.016557216644287,1.0199939012527466
all,full model,11.580985069274902,0.0,0.02395816706120968,0.025708282366394997
X1,dropout,0.0,2.221962844952941,2.1591787338256836,2.247671127319336
X1,lazy,1.1645219326019287,0.9900015946477652,1.002090573310852,1.0157098770141602
X1,retrain,9.533937215805054,1.004595911130309,1.0125688314437866,1.030304193496704
X2,dropout,0.0,1.382493769749999,1.42167067527771,1.408202052116394
X2,lazy,1.1099567413330078,0.6887258049100637,0.7399758100509644,0.7144340872764587
X2,retrain,18.351417064666748,0.6093603726476431,0.6441909670829773,0.6350686550140381
X3,dropout,0.0,0.978755509480834,0.9980965852737427,1.004463791847229
X3,lazy,1.138645887374878,0.9761473294347525,0.9902568459510803,1.0018556118011475
X3,retrain,10.754199028015137,0.9901957865804434,1.0034865140914917,1.0159040689468384
all,full model,8.028178930282593,0.0,0.02957685850560665,0.029649833217263222
X1,dropout,0.0,2.055914780125022,1.9626842737197876,2.085564613342285
X1,lazy,1.1090402603149414,1.0874759163707495,1.0178217887878418,1.1171257495880127
X1,retrain,10.050018787384033,1.0508955921977758,0.9790651202201843,1.080545425415039
X2,dropout,0.0,1.3833152260631323,1.3368796110153198,1.4129650592803955
X2,lazy,1.165355920791626,0.744710048660636,0.6939710974693298,0.7743598818778992
X2,retrain,11.21243691444397,0.6867602672427893,0.6518934965133667,0.7164101004600525
X3,dropout,0.0,1.0080396141856909,1.0536177158355713,1.037689447402954
X3,lazy,1.1181449890136719,0.9919429030269384,1.0298410654067993,1.0215927362442017
X3,retrain,9.35814905166626,1.0095578636974096,1.0451183319091797,1.0392076969146729
all,full model,11.78659987449646,0.0,0.025591202080249786,0.02485128864645958
X1,dropout,0.0,2.0703876353800297,2.1485483646392822,2.0952389240264893
X1,lazy,1.1192069053649902,1.0353261567652225,1.06051504611969,1.0601774454116821
X1,retrain,11.366578817367554,1.0437678433954716,1.0426459312438965,1.0686191320419312
X2,dropout,0.0,1.3761245347559452,1.459877848625183,1.4009758234024048
