variable,method,time,vi,train_loss,test_loss
all,full model,11.288079977035522,0.0,0.012314440682530403,0.013422520831227303
X1,dropout,0.0,0.03867091424763203,0.04754158481955528,0.05209343507885933
X1,lazy,1.7153711318969727,0.0244519654661417,0.033682722598314285,0.037874486297369
X1,retrain,3.9549357891082764,0.03473878093063831,0.04003797098994255,0.048161301761865616
X2,dropout,0.0,0.022962333634495735,0.03413446620106697,0.03638485446572304
X2,lazy,1.540107011795044,0.011703243479132652,0.02327466756105423,0.025125764310359955
X2,retrain,3.859278917312622,0.02268883027136326,0.03412368893623352,0.03611135110259056
X3,dropout,0.0,0.019427137449383736,0.033067334443330765,0.03284965828061104
X3,lazy,1.4657678604125977,0.02017742581665516,0.033286213874816895,0.03359994664788246
X3,retrain,1.5515928268432617,0.026796730235219002,0.03788880631327629,0.040219251066446304
X4,dropout,0.0,-0.00032939761877059937,0.012169333174824715,0.013093123212456703
X4,lazy,1.8339622020721436,-0.0005844049155712128,0.011979447677731514,0.01283811591565609
X4,retrain,8.495383977890015,0.002882266417145729,0.015003930777311325,0.01630478724837303
X5,dropout,0.0,-0.0001941155642271042,0.012219528667628765,0.013228405267000198
X5,lazy,1.495988130569458,-0.00025116652250289917,0.01248218398541212,0.013171354308724403
X5,retrain,4.9230358600616455,0.010233774781227112,0.02287266217172146,0.023656295612454414
X6,dropout,0.0,-4.655495285987854e-05,0.012259361334145069,0.013375965878367424
X6,lazy,1.7100739479064941,-0.00021740421652793884,0.012342306785285473,0.013205116614699364
X6,retrain,5.507149696350098,0.012319615110754967,0.02409322001039982,0.02574213594198227
all,full model,3.527039051055908,0.0,0.02418634295463562,0.023803336545825005
X1,dropout,0.0,0.03080921433866024,0.05423552915453911,0.054612550884485245
X1,lazy,1.4418401718139648,0.015078222379088402,0.038684140890836716,0.038881558924913406
X1,retrain,4.743058919906616,0.01728924922645092,0.041892752051353455,0.041092585772275925
X2,dropout,0.0,0.023978082463145256,0.048493511974811554,0.04778141900897026
X2,lazy,1.544112205505371,0.013739777728915215,0.03751957789063454,0.03754311427474022
X2,retrain,3.3492469787597656,0.010319309309124947,0.035093821585178375,0.03412264585494995
X3,dropout,0.0,0.014649717137217522,0.0410042442381382,0.038453053683042526
X3,lazy,1.4180371761322021,0.013677967712283134,0.039710380136966705,0.03748130425810814
X3,retrain,2.627077102661133,0.0147694181650877,0.04091925173997879,0.038572754710912704
X4,dropout,0.0,-5.1973387598991394e-05,0.024418432265520096,0.023751363158226013
X4,lazy,1.4307050704956055,-0.002980552613735199,0.021376164630055428,0.020822783932089806
X4,retrain,3.7356698513031006,8.435919880867004e-06,0.02431223914027214,0.02381177246570587
X5,dropout,0.0,-0.0005457010120153427,0.02352702058851719,0.023257635533809662
X5,lazy,1.5271990299224854,-0.00438997708261013,0.01963391713798046,0.019413359463214874
X5,retrain,2.9058938026428223,0.00024213828146457672,0.024552060291171074,0.02404547482728958
X6,dropout,0.0,-0.000665806233882904,0.023491857573390007,0.0231375303119421
X6,lazy,1.361185073852539,-0.0029271692037582397,0.021177196875214577,0.020876167342066765
X6,retrain,5.134735107421875,-0.002470657229423523,0.021188607439398766,0.02133267931640148
all,full model,5.844058036804199,0.0,0.01920511946082115,0.020403476431965828
X1,dropout,0.0,0.031530098989605904,0.05039941146969795,0.05193357542157173
X1,lazy,1.3734369277954102,0.018616827204823494,0.03683462738990784,0.03902030363678932
X1,retrain,2.8319408893585205,0.023749208077788353,0.040823761373758316,0.04415268450975418
X2,dropout,0.0,0.02497357688844204,0.043761998414993286,0.04537705332040787
X2,lazy,1.373267412185669,0.0188299510627985,0.038247499614953995,0.03923342749476433
X2,retrain,2.758711099624634,0.009555082768201828,0.028818443417549133,0.029958559200167656
X3,dropout,0.0,0.018894856795668602,0.03596695140004158,0.03929833322763443
X3,lazy,1.6405189037322998,0.021186387166380882,0.03769751265645027,0.04158986359834671
X3,retrain,3.0899529457092285,0.02110779844224453,0.038218915462493896,0.04151127487421036
X4,dropout,0.0,-0.000452214851975441,0.019060276448726654,0.019951261579990387
X4,lazy,1.7733502388000488,-0.0014048181474208832,0.01772269792854786,0.018998658284544945
X4,retrain,4.359521865844727,0.0034106075763702393,0.02359137497842312,0.023814084008336067
X5,dropout,0.0,-0.00039191916584968567,0.01887725666165352,0.020011557266116142
X5,lazy,1.38401198387146,-0.002750679850578308,0.016176637262105942,0.01765279658138752
X5,retrain,3.2167680263519287,0.0038385316729545593,0.022686313837766647,0.024242008104920387
X6,dropout,0.0,-0.0007218904793262482,0.018930936232209206,0.01968158595263958
X6,lazy,1.37687087059021,-0.001413188874721527,0.017690302804112434,0.0189902875572443
X6,retrain,2.3555493354797363,-0.0020498745143413544,0.017913473770022392,0.018353601917624474
all,full model,4.326053857803345,0.0,0.02452792041003704,0.022304724901914597
X1,dropout,0.0,0.02534135803580284,0.05004669353365898,0.04764608293771744
X1,lazy,1.430232286453247,0.015025988221168518,0.03823306784033775,0.037330713123083115
X1,retrain,4.338266134262085,0.012608010321855545,0.03612467274069786,0.03491273522377014
X2,dropout,0.0,0.028837382793426514,0.053697604686021805,0.05114210769534111
X2,lazy,1.4007117748260498,0.023041371256113052,0.045768868178129196,0.04534609615802765
X2,retrain,8.914817094802856,0.005351893603801727,0.028348997235298157,0.027656618505716324
X3,dropout,0.0,0.016787521541118622,0.040949687361717224,0.03909224644303322
X3,lazy,1.5307221412658691,0.028767365962266922,0.05235464498400688,0.05107209086418152
X3,retrain,3.4919559955596924,0.01554134488105774,0.03873930871486664,0.037846069782972336
X4,dropout,0.0,6.888806819915771e-05,0.024436846375465393,0.022373612970113754
X4,lazy,1.4594919681549072,0.00932566449046135,0.03258683532476425,0.031630389392375946
X4,retrain,3.503812074661255,0.0002579856663942337,0.023538868874311447,0.02256271056830883
X5,dropout,0.0,2.2241845726966858e-05,0.024316171184182167,0.022326966747641563
X5,lazy,1.4307689666748047,0.007172146812081337,0.03063816763460636,0.029476871713995934
X5,retrain,2.7309730052948,-0.0022459570318460464,0.02208932675421238,0.02005876787006855
X6,dropout,0.0,0.00014065392315387726,0.024428319185972214,0.022445378825068474
X6,lazy,1.4162790775299072,0.013968106359243393,0.037401966750621796,0.03627283126115799
X6,retrain,5.746059894561768,-0.003395918756723404,0.021094325929880142,0.018908806145191193
all,full model,11.536041021347046,0.0,0.015018601901829243,0.015298191457986832
X1,dropout,0.0,0.031194012612104416,0.04430431127548218,0.04649220407009125
X1,lazy,1.7187080383300781,0.021279454231262207,0.033385779708623886,0.03657764568924904
X1,retrain,5.55438494682312,0.028740540146827698,0.04090078920125961,0.04403873160481453
X2,dropout,0.0,0.02551012486219406,0.041840966790914536,0.04080831632018089
X2,lazy,1.7064080238342285,0.0108417347073555,0.02702510356903076,0.02613992616534233
X2,retrain,4.900285959243774,0.019281670451164246,0.035699017345905304,0.03457986190915108
X3,dropout,0.0,0.02147814631462097,0.035413168370723724,0.0367763377726078
X3,lazy,1.543982982635498,0.020511552691459656,0.034523557871580124,0.03580974414944649
X3,retrain,3.4396321773529053,0.02461327612400055,0.03877470642328262,0.03991146758198738
X4,dropout,0.0,0.0006836261600255966,0.014675518497824669,0.01598181761801243
X4,lazy,1.3527569770812988,-0.004056862555444241,0.011047784239053726,0.011241328902542591
X4,retrain,2.9046568870544434,0.009306902065873146,0.024015450850129128,0.024605093523859978
X5,dropout,0.0,-0.0005475804209709167,0.014644291251897812,0.014750611037015915
X5,lazy,1.3601911067962646,-0.0027402183040976524,0.012875866144895554,0.01255797315388918
X5,retrain,5.091104030609131,0.010710537433624268,0.026386765763163567,0.0260087288916111
X6,dropout,0.0,7.323268800973892e-05,0.015029226429760456,0.01537142414599657
X6,lazy,1.395385980606079,-0.0034257881343364716,0.011855917051434517,0.01187240332365036
X6,retrain,4.506235837936401,0.006727926433086395,0.02225315570831299,0.022026117891073227
