variable,method,time,vi,train_loss,test_loss
all,full model,8.692727088928223,0.0,0.01549654733389616,0.016164250671863556
X1,dropout,0.0,0.03392507880926132,0.049306854605674744,0.05008932948112488
X1,lazy,4.345731019973755,0.023614034056663513,0.03772013634443283,0.03977828472852707
X1,retrain,2.517176866531372,0.022945966571569443,0.03681335598230362,0.039110217243433
X2,dropout,0.0,0.020814038813114166,0.03710857033729553,0.03697828948497772
X2,lazy,5.525259971618652,0.013945944607257843,0.029783910140395164,0.0301101952791214
X2,retrain,2.8460700511932373,0.015942096710205078,0.03150348365306854,0.032106347382068634
X3,dropout,0.0,0.017251428216695786,0.033791571855545044,0.03341567888855934
X3,lazy,5.724602937698364,0.02142053097486496,0.03818046301603317,0.037584781646728516
X3,retrain,3.4950110912323,0.020547345280647278,0.03498738631606102,0.036711595952510834
X4,dropout,0.0,-0.0007451539859175682,0.015076030977070332,0.015419096685945988
X4,lazy,5.336780071258545,-0.0005976436659693718,0.01533123292028904,0.015566607005894184
X4,retrain,4.661919832229614,-0.0035851141437888145,0.012174366042017937,0.012579136528074741
X5,dropout,0.0,-0.0006488757207989693,0.01542360894382,0.015515374951064587
X5,lazy,5.502264976501465,0.00012177601456642151,0.01654474250972271,0.016286026686429977
X5,retrain,4.704586029052734,-0.002585683949291706,0.013173381797969341,0.01357856672257185
X6,dropout,0.0,-0.00046314671635627747,0.015175997279584408,0.01570110395550728
X6,lazy,4.526870012283325,-5.431659519672394e-05,0.01595761999487877,0.016109934076666832
X6,retrain,3.542475700378418,-0.004647951573133469,0.011408026330173016,0.011516299098730087
all,full model,6.255095958709717,0.0,0.013298332691192627,0.014285361394286156
X1,dropout,0.0,0.033445803448557854,0.04496338218450546,0.04773116484284401
X1,lazy,6.2062249183654785,0.020102346315979958,0.031090617179870605,0.03438770771026611
X1,retrain,3.796402931213379,0.02250516600906849,0.03365783765912056,0.036790527403354645
X2,dropout,0.0,0.020205000415444374,0.034773096442222595,0.03449036180973053
X2,lazy,4.500830888748169,0.011506680399179459,0.024914490059018135,0.025792041793465614
X2,retrain,3.6655468940734863,0.015598690137267113,0.028296353295445442,0.02988405153155327
X3,dropout,0.0,0.020778248086571693,0.031902093440294266,0.03506360948085785
X3,lazy,5.4155519008636475,0.01967625506222248,0.029801007360219955,0.033961616456508636
X3,retrain,3.585637092590332,0.023435963317751884,0.03354956954717636,0.03772132471203804
X4,dropout,0.0,-0.0006657103076577187,0.013296284712851048,0.013619651086628437
X4,lazy,5.493973016738892,-0.002356329932808876,0.011923568323254585,0.01192903146147728
X4,retrain,3.7187819480895996,-0.002254156395792961,0.01167792547494173,0.012031204998493195
X5,dropout,0.0,-0.00039523839950561523,0.013456759043037891,0.01389012299478054
X5,lazy,6.5028321743011475,-0.003276071511209011,0.010884569026529789,0.011009289883077145
X5,retrain,7.074980735778809,-0.0022087646648287773,0.011930874548852444,0.012076596729457378
X6,dropout,0.0,-0.0005770782008767128,0.013238904997706413,0.013708283193409443
X6,lazy,6.681297779083252,-0.0019473377615213394,0.012152059935033321,0.012338023632764816
X6,retrain,3.9772250652313232,-0.002076420933008194,0.011877504177391529,0.012208940461277962
all,full model,4.814454078674316,0.0,0.012947583571076393,0.01451972033828497
X1,dropout,0.0,0.035364181734621525,0.04623030126094818,0.049883902072906494
X1,lazy,5.3630218505859375,0.025464714504778385,0.037111036479473114,0.039984434843063354
X1,retrain,2.8075220584869385,0.026174397207796574,0.03789014741778374,0.04069411754608154
X2,dropout,0.0,0.023883105255663395,0.03402523323893547,0.038402825593948364
X2,lazy,4.631937026977539,0.01311642024666071,0.02349424920976162,0.02763614058494568
X2,retrain,2.9589366912841797,0.019718230701982975,0.029784157872200012,0.034237951040267944
X3,dropout,0.0,0.019711949862539768,0.03292303532361984,0.03423167020082474
X3,lazy,4.530602931976318,0.019478515721857548,0.032363664358854294,0.03399823606014252
X3,retrain,3.5858712196350098,0.02078146208077669,0.03406299278140068,0.03530118241906166
X4,dropout,0.0,-0.0004008123651146889,0.013013232499361038,0.01411890797317028
X4,lazy,4.466779947280884,-0.0026561878621578217,0.010733060538768768,0.011863532476127148
X4,retrain,3.1753201484680176,0.004118007607758045,0.016277851536870003,0.018637727946043015
X5,dropout,0.0,-0.0005364092066884041,0.012746866792440414,0.013983311131596565
X5,lazy,4.247127056121826,-0.0026863189414143562,0.010640518739819527,0.011833401396870613
X5,retrain,3.9057068824768066,-0.0013469764962792397,0.01179588958621025,0.01317274384200573
X6,dropout,0.0,-0.00035531725734472275,0.012957974337041378,0.014164403080940247
X6,lazy,4.327069044113159,-0.002176404930651188,0.010999588295817375,0.012343315407633781
X6,retrain,3.5490670204162598,-0.0013692276552319527,0.011215118691325188,0.013150492683053017
all,full model,2.424213171005249,0.0,0.02183212898671627,0.021613337099552155
X1,dropout,0.0,0.030874792486429214,0.05615350976586342,0.05248812958598137
X1,lazy,4.359975814819336,0.01851252093911171,0.041644349694252014,0.040125858038663864
X1,retrain,2.2643160820007324,0.013237468898296356,0.03692495822906494,0.03485080599784851
X2,dropout,0.0,0.02241436019539833,0.04439383000135422,0.044027697294950485
X2,lazy,4.507346868515015,0.011034488677978516,0.030416278168559074,0.03264782577753067
X2,retrain,3.0325841903686523,0.006165413185954094,0.026114782318472862,0.02777875028550625
X3,dropout,0.0,0.018179092556238174,0.03703780099749565,0.03979242965579033
